size;insert;comb;count
300000;0;84;3
301000;0;84;3
302000;0;84;3
303000;0;84;3
304000;0;84;3
305000;0;85;3
306000;0;86;3
307000;0;85;3
308000;0;86;3
309000;0;86;3
310000;0;86;3
311000;0;87;3
312000;0;87;3
313000;0;88;3
314000;0;88;3
315000;0;89;3
316000;0;89;3
317000;0;89;3
318000;0;89;3
319000;0;90;3
320000;0;90;3
321000;0;92;3
322000;0;92;3
323000;0;91;3
324000;0;91;3
325000;0;92;3
326000;0;93;3
327000;0;93;3
328000;0;94;3
329000;0;94;3
330000;0;94;3
331000;0;93;3
332000;0;93;3
333000;0;94;4
334000;0;96;4
335000;0;94;4
336000;0;95;3
337000;0;95;3
338000;0;95;3
339000;0;98;4
340000;0;96;3
341000;0;96;3
342000;0;96;4
343000;0;96;3
344000;0;97;4
345000;0;98;4
346000;0;98;4
347000;0;98;4
348000;0;98;4
349000;0;98;4
350000;0;98;4
351000;0;99;3
352000;0;99;4
353000;0;99;4
354000;0;99;4
355000;0;100;4
356000;0;101;4
357000;0;101;4
358000;0;101;3
359000;0;101;4
360000;0;101;4
361000;0;102;4
362000;0;103;4
363000;0;104;4
364000;0;103;4
365000;0;103;4
366000;0;108;4
367000;0;103;4
368000;0;104;4
369000;0;104;4
370000;0;107;6
371000;0;105;4
372000;0;105;4
373000;0;105;4
374000;0;106;4
375000;0;106;4
376000;0;106;4
377000;0;106;4
378000;0;107;4
379000;0;107;4
380000;0;107;4
381000;0;133;4
382000;0;108;4
383000;0;108;4
384000;0;109;4
385000;0;109;4
386000;0;109;4
387000;0;109;4
388000;0;110;4
389000;0;111;4
390000;0;112;4
391000;0;112;4
392000;0;112;4
393000;0;112;4
394000;0;114;4
395000;0;114;4
396000;0;113;4
397000;0;113;4
398000;0;113;4
399000;0;114;4
400000;0;115;4
401000;0;115;4
402000;0;115;4
403000;0;116;4
404000;0;117;4
405000;0;115;4
406000;0;119;4
407000;0;116;4
408000;0;117;4
409000;0;118;4
410000;0;117;4
411000;0;117;4
412000;0;119;4
413000;0;118;4
414000;0;118;4
415000;0;119;4
416000;0;119;4
417000;0;119;4
418000;0;119;4
419000;0;120;4
420000;0;120;4
421000;0;119;4
422000;0;121;4
423000;0;121;4
424000;0;121;4
425000;0;124;4
426000;0;122;4
427000;0;122;4
428000;0;122;4
429000;0;122;4
430000;0;123;4
431000;0;124;4
432000;0;123;4
433000;0;128;4
434000;0;124;4
435000;0;124;4
436000;0;124;4
437000;0;125;4
438000;0;125;4
439000;0;125;4
440000;0;125;4
441000;0;126;4
442000;0;126;4
443000;0;128;4
444000;0;127;4
445000;0;127;4
446000;0;128;4
447000;0;128;4
448000;0;128;4
449000;0;129;5
450000;0;129;4
451000;0;130;4
452000;0;129;4
453000;0;130;4
454000;0;130;5
455000;0;130;4
456000;0;130;4
457000;0;131;5
458000;0;134;7
459000;0;131;5
460000;0;131;5
461000;0;132;5
462000;0;132;5
463000;0;133;5
464000;0;133;5
465000;0;133;4
466000;0;136;5
467000;0;134;5
468000;0;134;4
469000;0;135;5
470000;0;135;5
471000;0;142;7
472000;0;135;5
473000;0;136;4
474000;0;136;5
475000;0;136;4
476000;0;137;5
477000;0;137;5
478000;0;137;5
479000;0;137;5
480000;0;138;5
481000;0;138;5
482000;0;139;5
483000;0;138;5
484000;0;139;5
485000;0;140;5
486000;0;140;5
487000;0;142;4
488000;0;141;5
489000;0;142;5
490000;0;142;5
491000;0;142;5
492000;0;144;5
493000;0;143;5
494000;0;144;5
495000;0;144;4
496000;0;144;5
497000;0;145;5
498000;0;145;5
499000;0;145;5
500000;0;146;5
501000;0;154;5
502000;0;147;5
503000;0;147;5
504000;0;148;5
505000;0;148;5
506000;0;149;5
507000;0;149;5
508000;0;147;5
509000;0;148;5
510000;0;149;5
511000;0;150;5
512000;0;150;5
513000;0;149;5
514000;0;151;5
515000;0;150;5
516000;0;150;5
517000;0;150;5
518000;0;151;5
519000;0;151;5
520000;0;151;5
521000;0;152;5
522000;0;152;5
523000;0;153;5
524000;0;151;5
525000;0;156;5
526000;0;152;5
527000;0;153;5
528000;0;153;5
529000;0;153;5
530000;0;154;5
531000;0;154;5
532000;0;155;5
533000;0;155;5
534000;0;155;5
535000;0;156;5
536000;0;160;5
537000;0;156;5
538000;0;156;5
539000;0;156;5
540000;0;157;5
541000;0;157;5
542000;0;157;5
543000;0;157;5
544000;0;159;5
545000;0;158;5
546000;0;158;5
547000;0;158;5
548000;0;159;5
549000;0;159;5
550000;0;159;5
551000;0;160;5
552000;0;160;5
553000;0;161;5
554000;0;161;5
555000;0;163;5
556000;0;163;5
557000;0;162;5
558000;0;162;5
559000;0;163;5
560000;0;163;5
561000;0;164;5
562000;0;164;5
563000;0;165;5
564000;0;165;5
565000;0;165;6
566000;0;166;6
567000;0;165;5
568000;0;169;5
569000;0;166;5
570000;0;168;5
571000;0;167;5
572000;0;166;5
573000;0;166;5
574000;0;167;5
575000;0;182;5
576000;0;167;5
577000;0;169;5
578000;0;168;5
579000;0;168;5
580000;0;169;5
581000;0;168;5
582000;0;174;9
583000;0;169;5
584000;0;169;5
585000;0;170;5
586000;0;170;5
587000;0;170;5
588000;0;170;5
589000;0;171;6
590000;0;172;5
591000;0;171;5
592000;0;172;5
593000;0;172;6
594000;0;172;5
595000;0;173;6
596000;0;174;5
597000;0;173;6
598000;0;174;5
599000;0;174;5
600000;0;174;5
601000;0;174;6
602000;0;175;6
603000;0;175;5
604000;0;175;5
